Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
04-05-16 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances
05-05-16 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Manual Tools
05-05-16 00:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools
11-05-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
12-05-16 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Chemical substances
11-05-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
14-05-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
17-05-16 00:00,Country_01,Local_11,Others,I,II,Male,Employee,Others
19-05-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others
18-05-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Others
22-05-16 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Blocking and isolation of energies
20-05-16 00:00,Country_01,Local_06,Metals,I,I,Male,Third Party,Fall prevention (same level)
22-05-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
24-05-16 00:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Fall
12-05-16 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
25-05-16 00:00,Country_01,Local_04,Mining,II,III,Male,Employee,Others
27-05-16 00:00,Country_02,Local_02,Mining,I,V,Male,Employee,Others
25-05-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
26-05-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
26-05-16 00:00,Country_03,Local_10,Others,I,I,Male,Employee,Others
01-06-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut
02-06-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut
03-06-16 00:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others
04-06-16 00:00,Country_01,Local_04,Mining,V,V,Male,Third Party,Others
03-06-16 00:00,Country_03,Local_10,Others,II,II,Male,Third Party,Others
05-06-16 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
05-06-16 00:00,Country_01,Local_06,Metals,I,I,Male,Employee,Fall prevention
08-06-16 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
07-06-16 00:00,Country_01,Local_01,Mining,I,I,Male,Employee,Others
07-06-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
08-06-16 00:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Fall prevention (same level)
08-06-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
08-06-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
10-06-16 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Manual Tools
13-06-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
16-06-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
16-06-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
16-06-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
16-06-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
16-06-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
18-06-16 00:00,Country_03,Local_10,Others,I,I,Male,Employee,Bees
18-06-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
17-06-16 00:00,Country_02,Local_08,Metals,IV,V,Male,Employee,"
Not applicable"
17-06-16 00:00,Country_02,Local_08,Metals,IV,V,Male,Employee,Not applicable
17-06-16 00:00,Country_02,Local_08,Metals,V,V,Male,Employee,Not applicable
19-06-16 00:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others
21-06-16 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others
22-06-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party (Remote),Others
23-06-16 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Manual Tools
24-06-16 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others
24-06-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
29-06-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
02-07-16 00:00,Country_01,Local_03,Mining,V,V,Male,Third Party,Others
04-07-16 00:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Pressed
24-06-16 00:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
08-07-16 00:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
07-07-16 00:00,Country_01,Local_03,Mining,IV,V,Male,Third Party,Others
07-07-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
08-07-16 00:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Manual Tools
09-07-16 00:00,Country_03,Local_10,Others,III,IV,Male,Third Party,Others
10-07-16 00:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others
11-07-16 00:00,Country_02,Local_05,Metals,III,IV,Male,Third Party (Remote),Suspended Loads
14-07-16 00:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
15-07-16 00:00,Country_02,Local_05,Metals,I,II,Female,Employee,Chemical substances
16-07-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
18-07-16 00:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level)
20-07-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances
21-07-16 00:00,Country_02,Local_12,Others,I,II,Female,Employee,Traffic
23-07-16 00:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Pressurized Systems
27-07-16 00:00,Country_01,Local_03,Mining,II,IV,Male,Employee,Others
29-07-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
30-07-16 00:00,Country_02,Local_07,Mining,I,II,Male,Employee,Others
02-08-16 00:00,Country_02,Local_02,Mining,I,III,Male,Third Party (Remote),Others
01-08-16 00:00,Country_02,Local_05,Metals,II,III,Female,Third Party,Manual Tools
02-08-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
01-08-16 00:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Others
04-08-16 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Cut
11-08-16 00:00,Country_02,Local_02,Mining,IV,IV,Male,Third Party (Remote),Others
11-08-16 00:00,Country_02,Local_12,Others,I,IV,Female,Employee,Others
12-08-16 00:00,Country_01,Local_03,Mining,III,IV,Male,Employee,Others
14-08-16 00:00,Country_01,Local_01,Mining,III,IV,Male,Third Party,Others
14-08-16 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Projection
15-08-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
18-08-16 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
19-08-16 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
22-08-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressed
24-08-16 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut
25-08-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
24-08-16 00:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
29-08-16 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Chemical substances
27-08-16 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Pressurized Systems / Chemical Substances
30-08-16 00:00,Country_02,Local_08,Metals,II,II,Female,Third Party (Remote),Others
30-08-16 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
01-09-16 00:00,Country_02,Local_05,Metals,II,IV,Male,Third Party (Remote),Manual Tools
02-09-16 00:00,Country_01,Local_03,Mining,I,I,Male,Third Party,Others
04-09-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
03-09-16 00:00,Country_01,Local_04,Mining,III,IV,Male,Employee,Others
04-09-16 00:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Suspended Loads
06-09-16 00:00,Country_02,Local_02,Mining,I,II,Male,Employee,Others
05-09-16 00:00,Country_02,Local_05,Metals,I,II,Female,Employee,Venomous Animals
06-09-16 00:00,Country_02,Local_07,Mining,I,II,Male,Employee,Others
13-09-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
12-09-16 00:00,Country_01,Local_11,Others,III,IV,Female,Employee,Others
13-09-16 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Suspended Loads
15-09-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
17-09-16 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Pressed
16-09-16 00:00,Country_02,Local_05,Metals,II,IV,Male,Employee,Pressurized Systems
20-09-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Fall
20-09-16 00:00,Country_02,Local_05,Metals,I,II,Male,Third Party (Remote),Blocking and isolation of energies
20-09-16 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
21-09-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
21-09-16 00:00,Country_02,Local_05,Metals,II,III,Male,Third Party,Manual Tools
22-09-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
22-09-16 00:00,Country_01,Local_06,Metals,I,III,Male,Employee,Others
27-09-16 00:00,Country_01,Local_06,Metals,I,II,Female,Third Party,Pressurized Systems
29-09-16 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
30-09-16 00:00,Country_01,Local_04,Mining,I,I,Male,Employee,Others
01-10-16 00:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Others
03-10-16 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
03-10-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressed
03-10-16 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Pressed
03-10-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
04-10-16 00:00,Country_03,Local_10,Others,III,III,Male,Employee,Others
08-10-16 00:00,Country_01,Local_04,Mining,II,II,Male,Third Party,Others
10-10-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others
10-10-16 00:00,Country_01,Local_04,Mining,III,IV,Male,Employee,Others
11-10-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances
13-10-16 00:00,Country_02,Local_02,Mining,II,II,Male,Third Party (Remote),Others
13-10-16 00:00,Country_01,Local_03,Mining,III,IV,Male,Employee,Others
18-10-16 00:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others
18-10-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
20-10-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressurized Systems
23-10-16 00:00,Country_02,Local_02,Mining,II,IV,Male,Employee,Others
24-10-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
26-10-16 00:00,Country_01,Local_01,Mining,III,IV,Male,Employee,Others
27-10-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
29-10-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
29-10-16 00:00,Country_02,Local_08,Metals,IV,IV,Male,Employee,Pressed
04-11-16 00:00,Country_01,Local_03,Mining,IV,V,Male,Employee,Others
08-11-16 00:00,Country_01,Local_04,Mining,I,IV,Male,Employee,Others
08-11-16 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Others
11-11-16 00:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Others
13-11-16 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Plates
19-11-16 00:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
21-11-16 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
23-11-16 00:00,Country_01,Local_06,Metals,I,IV,Male,Employee,Others
23-11-16 00:00,Country_01,Local_04,Mining,I,II,Male,Employee,Others
25-11-16 00:00,Country_02,Local_07,Mining,I,II,Male,Employee,Others
28-11-16 00:00,Country_01,Local_03,Mining,I,I,Male,Third Party,Others
29-11-16 00:00,Country_02,Local_08,Metals,II,III,Male,Employee,Others
30-11-16 00:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
01-12-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
01-12-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
01-12-16 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
08-12-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Suspended Loads
08-12-16 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party (Remote),Others
09-12-16 00:00,Country_02,Local_02,Mining,II,III,Male,Third Party (Remote),Others
10-12-16 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
12-12-16 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Others
13-12-16 00:00,Country_02,Local_02,Mining,I,II,Male,Third Party (Remote),Others
12-12-16 00:00,Country_01,Local_04,Mining,III,III,Male,Employee,Others
12-12-16 00:00,Country_02,Local_05,Metals,I,II,Male,Third Party (Remote),Others
13-12-16 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
15-12-16 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Others
15-12-16 00:00,Country_01,Local_03,Mining,III,IV,Male,Third Party,Others
16-12-16 00:00,Country_02,Local_08,Metals,I,II,Female,Third Party,Others
19-12-16 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
23-12-16 00:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others
22-12-16 00:00,Country_02,Local_05,Metals,I,II,Male,Third Party,Others
22-12-16 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
23-12-16 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
26-12-16 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Others
28-12-16 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Others
30-12-16 00:00,Country_01,Local_04,Mining,IV,V,Male,Third Party,Others
31-12-16 00:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
02-01-17 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Pressed
05-01-17 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Projection
05-01-17 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
06-01-17 00:00,Country_02,Local_08,Metals,I,I,Male,Employee,Pressed
07-01-17 00:00,Country_01,Local_04,Mining,I,IV,Male,Employee,Others
08-01-17 00:00,Country_01,Local_06,Metals,III,III,Male,Employee,Cut
08-01-17 00:00,Country_02,Local_05,Metals,II,IV,Male,Employee,Projection/Burning
09-01-17 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others
09-01-17 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
10-01-17 00:00,Country_03,Local_10,Others,I,IV,Male,Third Party,Fall prevention
12-01-17 00:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools
14-01-17 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Projection
17-01-17 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,remains of choco
17-01-17 00:00,Country_02,Local_08,Metals,I,IV,Male,Employee,Liquid Metal
17-01-17 00:00,Country_02,Local_08,Metals,III,IV,Male,Employee,Others
20-01-17 00:00,Country_01,Local_06,Metals,IV,IV,Male,Third Party (Remote),Fall prevention
20-01-17 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Manual Tools
21-01-17 00:00,Country_02,Local_02,Mining,I,I,Male,Third Party (Remote),Others
21-01-17 00:00,Country_02,Local_02,Mining,I,I,Male,Third Party (Remote),Others
23-01-17 00:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,remains of choco
24-01-17 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Fall
24-01-17 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
25-01-17 00:00,Country_01,Local_03,Mining,V,VI,Male,Third Party,remains of choco
27-01-17 00:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Others
29-01-17 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Vehicles and Mobile Equipment
28-01-17 00:00,Country_01,Local_01,Mining,I,III,Male,Employee,Vehicles and Mobile Equipment
31-01-17 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Others
31-01-17 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Vehicles and Mobile Equipment
01-02-17 00:00,Country_03,Local_10,Others,I,II,Male,Third Party,Projection/Choco
04-02-17 00:00,Country_02,Local_02,Mining,I,III,Male,Employee,Manual Tools
05-02-17 00:00,Country_03,Local_10,Others,I,II,Male,Employee,Others
07-02-17 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
07-02-17 00:00,Country_01,Local_03,Mining,II,V,Male,Employee,remains of choco
08-02-17 00:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Cut
08-02-17 00:00,Country_02,Local_08,Metals,I,II,Female,Third Party,Others
